sent_id,teks,token_id,token,lemma,upos,xpos,feats,head,deprel,misc,tipe_afiks
train-s4078,"Hampir semua Presiden Indonesia pernah menginap di Hotel Santika Cirebon, termasuk Susilo Bambang Yudhoyono.",6,menginap,menginap,VERB,X--,_,0,root,{'MorphInd': '^menginap<x>_X--$'},Prefiks
train-s2749,"Luffy hanya menjawab ""Ya"" sedangkan teman - teman yang lain menolak dengan marah karena masih curiga karena dia anggota BW, kecuali Sanji.",25,Sanji,sanji,PROPN,X--,_,21,conj,"{'SpaceAfter': 'No', 'MorphInd': '^sanji<x>_X--$'}",Tidak Berimbuhan
train-s1675,"Vincent juga pernah menjadi presenter di salah satu kuis yang ditayangkan di ANTV yaitu Super Game. Saat ini ia aktif menjadi presenter reality show ""Ups Salah"" di Trans 7",13,ANTV,antv,PROPN,X--,_,11,obl,{'MorphInd': '^antv<x>_X--$'},Tidak Berimbuhan
train-s4146,Atau Jamal (Bio One) teman baik Dinda?,9,Dinda,dinda,PROPN,X--,_,7,flat,"{'SpaceAfter': 'No', 'MorphInd': '^dinda<x>_X--$'}",Tidak Berimbuhan
train-s4143,Semula nama R Maladi akan diabadikan sebagai nama stadion Manahan.,8,nama,nama,NOUN,NSD,{'Number': 'Sing'},6,obl,{'MorphInd': '^nama<n>_NSD$'},Tidak Berimbuhan
train-s3792,Desa ini memiliki jumlah penduduknya sebagian besar bersuku daerah Sasak.,7,besar,besar,ADJ,ASP,"{'Degree': 'Pos', 'Number': 'Sing'}",8,amod,{'MorphInd': '^besar<a>_ASP$'},Tidak Berimbuhan
train-s2163,"Pertukaran Pelajar Rotary adalah sebuah program pertukaran pelajar milik Rotary International yang ditujukan kepada murid - murid SMA. Sejak tahun 1929, Rotary International telah mengirim para pemuda dan pemudi ke berbagai penjuru dunia untuk merasakan hidup di lingkungan dengan budaya baru.",6,program,program,NOUN,NSD,{'Number': 'Sing'},0,root,{'MorphInd': '^program<n>_NSD$'},Tidak Berimbuhan
train-s1774,"Namun, di Yunani sekarang ibadah dirayakan dalam bahasa Yunani yang dimengerti umat, bukan bahasa Yunani abad pertama.",12,dimengerti,dimengerti,VERB,VSP,"{'Number': 'Sing', 'Voice': 'Pass'}",9,acl,{'MorphInd': '^di+mengerti<a>_VSP$'},Prefiks
train-s3166,"Dengan mengetik secara acak, peluang huruf pertama yang diketik merupakan b adalah 1 / 50, dan kemungkinan huruf ke dua yang diketik merupakan a juga adalah 1 / 50, dst.",6,peluang,peluang,NOUN,NSD,{'Number': 'Sing'},11,nsubj,{'MorphInd': '^peluang<n>_NSD$'},Prefiks
train-s3716,"Selama tahun 2006 jumlah Perda yang diterbitkan Pemkab Mamuju adalah 13 Perda, yaitu: Selain Perda, produk hukum lainnya yang diterbitkan selama tahun 2006, yaitu Keputusan Bupati sebanyak 1172 buah dan instruksi Bupati sebanyak 1 buah.",10,adalah,adalah,AUX,O--,_,12,cop,{'MorphInd': '^adalah<o>_O--$'},Tidak Berimbuhan
train-s139,Biasanya terjadi pada peranti yang menunjukkan karakteristik resistansi negatif pada pencatu daya.,8,resistansi,resistansi,NOUN,X--,_,7,compound,{'MorphInd': '^resistansi<x>_X--$'},Tidak Berimbuhan
train-s937,Sekolah Dasar Islam Terpadu Harapan Umat memiliki kode NPSN 20110034.,6,Umat,umat,PROPN,NSD,{'Number': 'Sing'},2,flat,{'MorphInd': '^umat<n>_NSD$'},Tidak Berimbuhan
train-s2306,"Panitia Persiapan Pendirian Universitas Negeri Jambi kemudian membuka dua Fakultas Baru yaitu Fakultas Pertanian dan Fakultas Peternakan, sehingga pada saat diresmikan tanggal 1 April 1963, Universitas Negeri Jambi memiliki empat Fakultas yaitu Fakultas Ekonomi, Fakultas Hukum, Fakultas Pertanian dan Fakultas Peternakan.",25,April,april,PROPN,NSD,{'Number': 'Sing'},23,nmod,{'MorphInd': '^april<n>_NSD$'},Tidak Berimbuhan
train-s2592,Penggetar ganda terdiri atas dua irisan buluh yang saling bergetar dan membunyikan kolom udara yang berada di dalam tabung alat musik.,14,udara,udara,NOUN,NSD,{'Number': 'Sing'},13,compound,{'MorphInd': '^udara<n>_NSD$'},Tidak Berimbuhan
train-s689,Mal ini bisa dicapai beberapa menit dengan mengemudi dari Jembatan Semanggi.,9,dari,dari,ADP,R--,_,10,case,{'MorphInd': '^dari<r>_R--$'},Tidak Berimbuhan
train-s2428,Ia tidak berbunga dan berbuah karena merupakan tumbuhan berbiji terbuka.,9,berbiji,berbiji,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",8,acl,{'MorphInd': '^ber+biji<n>_VSA$'},Prefiks
train-s1945,"Dia merupakan seorang bek keras yang dikenal dengan ketahanan fisik yang luar biasa, kekuatan dan teknik tinggi, ia telah menjadi bagian penting dari tim nasional Yunani dan tim Olympiacos sejak bergabung dengan klub tersebut.",23,bagian,bagian,NOUN,NSD,{'Number': 'Sing'},22,obj,{'MorphInd': '^bagi<v>+an_NSD$'},Sufiks
train-s817,"Nama Kayuagung secara umum berasal dari sebuah sejarah, dimana pada zaman dahulunya, daerah kota kayuagung terdapat pohon - pohon yang berukuran besar, bahkan ada yang sampai berdiameter 4 meter, kemudian disimpulkanlah oleh para petua Pohon itu berarti Kayu sedangkan Besar Itu Agung.",43,sedangkan,sedangkan,SCONJ,S--,_,44,mark,{'MorphInd': '^sedangkan<s>_S--$'},Tidak Berimbuhan
train-s1319,Pada malam hari mereka berjalan - jalan keluar dan mengunjungi tepi danau menikmati bulan.,12,danau,danau,NOUN,NSD,{'Number': 'Sing'},11,compound,{'MorphInd': '^danau<n>_NSD$'},Tidak Berimbuhan
train-s1726,"Ketika ayahnya kembali dari kunjungan dua tahun ke Spanyol pada tahun 1576, ia mendapati putranya yang berusia 8 tahun memiliki penguasaan diri seperti seorang dewasa, dan ia sudah menganggapnya sebagai seorang ahli waris Castiglione yang pantas.",37,yang,yang,PRON,S--,{'PronType': 'Rel'},38,nsubj,{'MorphInd': '^yang<s>_S--$'},Tidak Berimbuhan
train-s200,"Di Indonesia, instansi yang menjalankan tugas - tugas ini adalah Direktorat Jenderal Bea dan Cukai sebagai unsur pelaksana tugas pokok dan fungsi Departemen Keuangan Republik Indonesia di bidang kepabeanan dan cukai.",27,Indonesia,indonesia,PROPN,NSD,{'Number': 'Sing'},26,flat,{'MorphInd': '^indonesia<n>_NSD$'},Tidak Berimbuhan
train-s1178,"Walaupun demikian, sebagian pos komando terpencil dan personel militer dari kesatuan di pelosok - pelosok Asia menolak untuk menyerah selama berbulan - bulan bahkan hingga bertahun - tahun setelah Jepang menyerah.",6,komando,komando,NOUN,NSD,{'Number': 'Sing'},5,compound,{'MorphInd': '^komando<n>_NSD$'},Tidak Berimbuhan
train-s3416,"Ketika berkunjung ke Belanda, Menteri Perekonomian RIS Juanda pada 20 Januari 1950 menyampaikan kepada Menteri Götzen, agar pasukan elit RST yang dipandang sebagai faktor risiko, secepatnya dievakuasi dari Indonesia.",4,Belanda,belanda,PROPN,NSD,{'Number': 'Sing'},2,obl,"{'SpaceAfter': 'No', 'MorphInd': '^belanda<n>_NSD$'}",Tidak Berimbuhan
train-s2784,"Meskipun masyarakat pedalaman masih tetap menganut animisme, tetapi rakyat pesisir menganut agama Islam.",5,tetap,tetap,VERB,ASP,"{'Degree': 'Pos', 'Number': 'Sing'}",0,root,{'MorphInd': '^tetap<a>_ASP$'},Tidak Berimbuhan
train-s2364,Loji Instruksi di UGLE dapat dijamin oleh Loji biasa manapun untuk dapat mempelajari dan berlatih Ritual Mason.,1,Loji,loji,PROPN,X--,_,6,nsubj:pass,{'MorphInd': '^loji<x>_X--$'},Tidak Berimbuhan
train-s1988,"Struktur wilayah datar dan sedikit miring dengan bagian utara yang sedikit lebih tinggi daripada bagian selatan dengan titik terendahnya sungai brantas Secara presentase wilayah ini terdiri dari: sekitar empat puluh persen wilayahnya terdiri atas persawahan, dua puluh persen perumahan, tiga puluh lima persen perkebunan berupa tegalan, dan lima belas persen untuk kegunaan yang lain.",40,persen,persen,NOUN,NSD,{'Number': 'Sing'},32,conj,{'MorphInd': '^persen<n>_NSD$'},Tidak Berimbuhan
train-s2410,"Aliansi Utara Afganistan menyediakan mayoritas pasukan, dengan dukungan dari Amerika Serikat dan negara - negara NATO antara lain Britania Raya, Perancis, Belanda, dan Australia.",23,Perancis,perancis,PROPN,NSD,{'Number': 'Sing'},20,conj,"{'SpaceAfter': 'No', 'MorphInd': '^perancis<n>_NSD$'}",Tidak Berimbuhan
train-s3201,"Setelah si Ksatria sampai di puncak Gunung Sembulungan, ia menjadi sadar dan menemukan tiga patung: satu besar dan dua kecil.",10,ia,ia,PRON,PS3,"{'Number': 'Sing', 'Person': '3', 'PronType': 'Prs'}",11,nsubj,{'MorphInd': '^ia<p>_PS3$'},Tidak Berimbuhan
train-s3909,"Dan baru pada tanggal 8 April 1945, Sri Sultan Hamengkubuwono IX melakukan penataan kembali wilayah Kasultanan Yogyakarta melalui Jogjakarta Koorei angka 2 (dua).",20,Jogjakarta,jogjakarta,PROPN,X--,_,16,nmod,{'MorphInd': '^jogjakarta<x>_X--$'},Tidak Berimbuhan
train-s3358,"Pada awal abad ke - 20, Kuba hanya dibagi menjadi 6 provinsi.",8,Kuba,kuba,PROPN,NSD,{'Number': 'Sing'},10,nsubj:pass,{'MorphInd': '^kuba<n>_NSD$'},Tidak Berimbuhan
train-s4264,"Ia memerintahkan tentara untuk mengamankan perbatasan dan menjaga ketenangan di dalam negeri ""demi menghormati kenangan terhadap almarhum pemimpin yang hebat"".",9,ketenangan,ketenangan,NOUN,NSD,{'Number': 'Sing'},8,obj,{'MorphInd': '^ke+tenang<a>+an_NSD$'},Konfiks
train-s1881,"Objek wisata yang dapat dikunjungi di Barabai adalah objek wisata sungai pegunungan Pagat Batu Benawa yang terletak 7 km dari kota Barabai, objek wisata sungai pegunungan Lok Laga yang terletak 15 km dari kota berada di kecamatan Haruyan, objek wisata air panas yang terletak 10 km dari kota yang berada di desa Hantakan File: COLLECTIE TROPENMUSEUM Djatilaan te Barabei Borneo TMnr 10008029. jpg | Jalan dengan pohon jati di Barabai di masa Hindia Belanda Berkas: COLLECTIE TROPENMUSEUM Eedafneming bij lokale inwoners te Barabai met in het midden JJ Meijer de assistent - resident van Amoetai (residentie Zuidoost Borneo) TMnr 10001594. jpg | JJ Meijer, assistent - resident Amuntai bersama warga Barabai Berkas: COLLECTIE TROPENMUSEUM Inlandse school te Barabai Zuidoost - Borneo TMnr 10002382. jpg | Inlandse school (""sekolah untuk pribumi"" di Barabai di masa Hindia Belanda",120,Barabai,barabai,PROPN,X--,_,119,flat,{'MorphInd': '^barabai<x>_X--$'},Tidak Berimbuhan
train-s3315,"Michael E. Davis, mantan rekan bisnis Wales, yang kini menjadi anggota dewan dan direktur keuangan Yayasan Wikimedia, ditunjuk sebagai direktur keuangan dan and sekretaris Wikia pada Januari 2006.",11,yang,yang,PRON,S--,{'PronType': 'Rel'},13,nsubj,{'MorphInd': '^yang<s>_S--$'},Tidak Berimbuhan
train-s2391,"Sementara rumah sakit lain dengan fasilitas UGD 24 jam antara lain RSUD Moewardi, RS PKU Muhammadiyah, RS Islam Surakarta (Yarsis), RS Kustati, RS Kasih Ibu, RS Panti Waluyo, RS Brayat Minulyo, dan RS Dr. Oen Solo Baru. RS Ortopedi Dr. Soeharso adalah salah satu pusat ortopedi terkemuka di Indonesia yang pernah menjadi pusat rujukan tulang nasional.",5,dengan,dengan,ADP,R--,_,6,case,{'MorphInd': '^dengan<r>_R--$'},Tidak Berimbuhan
train-s2710,"Saat dibandingkan dengan Wasu, Papua Nugini, kedua kota ini adalah yang paling jauh, dalam hal jumlah penerbangan, di dalam jaringan transportasi udara dunia.",1,Saat,saat,ADP,NSD,{'Number': 'Sing'},2,case,{'MorphInd': '^saat<n>_NSD$'},Tidak Berimbuhan
train-s1517,Aktivitas rantasi suplai (rantai nilai dan proses siklus hidup) mengubah bahan baku dan bahan pendukung menjadi sebuah barang jadi yang dapat dikirimkan kepada pelanggan pengguna akhir.,24,dikirimkan,dikirimkan,VERB,VSP,"{'Number': 'Sing', 'Voice': 'Pass'}",20,acl,{'MorphInd': '^di+kirim<v>+kan_VSP$'},Konfiks
train-s3171,"Kabupaten Bener Meriah yang beribukota di Simpang Tiga Redelong memiliki luas 1.919,69 km2 terdiri dari 10 Kecamatan dan 233 desa, Bener Meriah terletak 4 ° 33 50 - 4 ° 54 50 Lintang Utara dan 96 ° 40 75 - 97 ° 17 50 Bujur Timur dengan tinggi rata - rata di atas permukaan laut 100 - 2.500 mdpl Kabupaten Bener Meriah mencakup bagian utara Kabupaten Aceh Tengah yang berbatasan dengan Komoditi unggulan Kabupaten Bener Meriah yaitu sektor Perkebunan dan jasa.",71,berbatasan,berbatasan,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",67,acl,{'MorphInd': '^ber+batas<n>+an_VSA$'},Konfiks
train-s210,Panitia Pembentukan Calon Kabupaten Sambas Utara telah melaksanakan beberapa pertemuan dan rapat - rapat pembentukan Calon Kabupaten Sambas Utara yang puncaknya akan dilaksanakan deklarasi; 10.,24,deklarasi,deklarasi,NOUN,NSD,{'Number': 'Sing'},23,obj,"{'SpaceAfter': 'No', 'MorphInd': '^deklarasi<n>_NSD$'}",Tidak Berimbuhan
train-s4022,"Dalam bahasa Inggris tumbuhan ini dikenal dengan nama - nama Bengal almond, Indian almond, Malabar almond, Singapore almond, Tropical almond, Sea almond, Beach almond, Talisay tree, Umbrella tree, dan lain - lain.",7,dengan,dengan,ADP,R--,_,8,case,{'MorphInd': '^dengan<r>_R--$'},Tidak Berimbuhan
train-s2494,Spesies ini pertama kali dipublikasikan dengan nama Portulaca portulacastrum oleh Carl Linnaeus pada tahun 1753.,8,Portulaca,portulaca,NOUN,X--,_,7,compound,{'MorphInd': '^portulaca<x>_X--$'},Tidak Berimbuhan
train-s349,"Indonesia Malaise disutradarai Wong Bersaudara (Nelson, Joshua, dan Othniel), etnis Cina yang belajar perfilman di Amerika Serikat.",2,Malaise,malaise,PROPN,F--,_,1,flat,{'MorphInd': '^malaise<f>_F--$'},Tidak Berimbuhan
train-s4067,"Meskipun demikian, Yudistira tetap menunjukkan rasa hormatnya kepada Dretarastra dengan menetapkan bahwa tahta Raja Hastinapura masih dipegang oleh Dretarastra.",1,Meskipun,meskipun,SCONJ,S--,_,6,mark,{'MorphInd': '^meskipun<s>_S--$'},Tidak Berimbuhan
train-s4315,"Tentang Dia juga mendapatkan 5 nominasi lainnya, yaitu Sutradara Terbaik untuk Rudi Soedjarwo, Aktris Terbaik untuk Sigi Wimala, Skenario Terbaik untuk Titien Wattimena, Tata Suara Terbaik, dan Tata Artistik Terbaik.",35,Terbaik,terbaik,PROPN,ASS,"{'Degree': 'Sup', 'Number': 'Sing'}",33,amod,"{'SpaceAfter': 'No', 'MorphInd': '^ter+baik<a>_ASS$'}",Prefiks
train-s80,Mawar merupakan komoditas hortikultura yang bernilai ekonomi tinggi dan banyak diminati konsumen serta dapat dibudidayakan secara komersial.,17,komersial,komersial,ADJ,ASP,"{'Degree': 'Pos', 'Number': 'Sing'}",15,amod,"{'SpaceAfter': 'No', 'MorphInd': '^komersial<a>_ASP$'}",Tidak Berimbuhan
train-s1682,Ia adalah seorang ekonom Universitas Shahid Behesti (Shahid Beheshti University).,10,Beheshti,beheshti,PROPN,X--,_,9,flat,{'MorphInd': '^beheshti<x>_X--$'},Tidak Berimbuhan
train-s124,"Bersama isterinya Marjolein Beumer, ia menulis skenario, seperti film Bezet (2004) dan serial drama NPS Moes. Pada tahun 2005, ia muncul dalam film Manderlay, di mana ia bermain bersama - sama Danny Glover, Willem Dafoe, dan Lauren Bacall.",28,dalam,dalam,ADP,ASP,"{'Degree': 'Pos', 'Number': 'Sing'}",29,case,{'MorphInd': '^dalam<a>_ASP$'},Tidak Berimbuhan
train-s3876,"Sebagai bahan informasi untuk dijadikan pegangan, berbagai informasi disusun dalam Profil, yang berisi tentang Organisasi, SDM, Sarana, Prasarana, serta kinerja Daop 1 Jakarta.",5,dijadikan,dijadikan,VERB,VSP,"{'Number': 'Sing', 'Voice': 'Pass'}",2,acl,{'MorphInd': '^di+jadi<a>+kan_VSP$'},Konfiks
train-s1073,"Pusat dari segala kegiatan, baik kegiatan kemasyarakatan, pemerintahan maupun dalam pembangunan.",1,Pusat,pusat,PROPN,ASP,"{'Degree': 'Pos', 'Number': 'Sing'}",0,root,{'MorphInd': '^pusat<a>_ASP$'},Tidak Berimbuhan
train-s4119,"Sampak adalah desa di kecamatan Totikum, Banggai Kepulauan, Sulawesi Tengah, Indonesia.",1,Sampak,sampak,PROPN,X--,_,3,nsubj,{'MorphInd': '^sampak<x>_X--$'},Tidak Berimbuhan
train-s1135,"Gejala lainnya dari artritis pirai akut adalah demam, menggigil, perasaan tidak enak badan dan denyut jantung yang cepat.",12,perasaan,perrasaan,NOUN,NSD,{'Number': 'Sing'},8,conj,{'MorphInd': '^per+rasa<n>+an_NSD$'},Konfiks
train-s239,"Raja Taksin lalu mendirikan ibukota baru di Thonburi, yang terletak di seberang sungai Chao Phraya berhadapan dengan ibukota yang sekarang, Bangkok.",19,ibukota,ibukota,NOUN,NSD,{'Number': 'Sing'},17,obl,{'MorphInd': '^ibukota<n>_NSD$'},Tidak Berimbuhan
train-s543,"Raden Wijaya yang sebelumnya telah memiliki dua orang istri putri Kertanagara, kemudian menjadikan Dara Petak sebagai Stri Tinuheng Pura, atau ""istri yang dituakan di istana"".",9,istri,istri,NOUN,NSD,{'Number': 'Sing'},8,compound,{'MorphInd': '^istri<n>_NSD$'},Tidak Berimbuhan
train-s4053,"Pada 12 Agustus 2012, Bertrand mencetak gol pertamanya untuk Chelsea pada kekalahan 2 – 3 dari Manchester City di ajang FA Community Shield 2012.",3,Agustus,agustus,PROPN,NSD,{'Number': 'Sing'},7,obl,{'MorphInd': '^agustus<n>_NSD$'},Tidak Berimbuhan
train-s140,"Pertempuran dimulai dengan pemboman Italia pada pangkalan udara Rhodesia di Wajir di Kenya, dan dilanjutkan, invasi pasukan Italia melalui Somaliland, Eritrea, Ethiopia, sampai menyerahnya Italia setelah Pertempuran Gondar pada bulan November 1941 Pada tanggal 9 Mei 1936, diktator Italia Benito Mussolini menyatakan ""Imperium Italia Afrika Timur"" (Afrika Orientale Italiana, AOI).",18,invasi,invasi,NOUN,NSD,{'Number': 'Sing'},16,obl,{'MorphInd': '^invasi<n>_NSD$'},Tidak Berimbuhan
train-s1692,"Ada empat hal utama yang berpengaruh pada karies: permukaan gigi, bakteri kariogenik (penyebab karies), karbohidrat yang difermentasikan, dan waktu.",20,karbohidrat,karbohidrat,NOUN,NSD,{'Number': 'Sing'},10,conj,{'MorphInd': '^karbohidrat<n>_NSD$'},Tidak Berimbuhan
train-s1956,"Menurut Academic Ranking of World Universities, pada tahun 2006 tidak ada universitas di Rumania yang masuk kedalam 500 universitas terbaik di seluruh dunia.",2,Academic,academic,PROPN,X--,_,12,obl,{'MorphInd': '^academic<x>_X--$'},Tidak Berimbuhan
train-s838,Kebun botani ini dibuat sejak tahun 1877 dan merupakan percontohan kebun botani di awal abad ke - 19 dan ke - 20.,9,merupakan,merupakan,VERB,O--,_,4,conj,{'MorphInd': '^merupakan<o>_O--$'},Tidak Berimbuhan
train-s1595,"Jersey Shore adalah acara realita televisi Amerika Serikat yang perdana di MTV pada 3 Desember, 2009 di Amerika Serikat.",3,adalah,adalah,AUX,O--,_,4,cop,{'MorphInd': '^adalah<o>_O--$'},Tidak Berimbuhan
train-s2101,"Dalam Talmud Tractate Yoma 29a, Ester dibandingkan dengan ""bintang fajar"", dan dihubungkan dengan Mazmur 22 yang di bagian awal ada catatan ""Menurut lagu: Rusa di kala fajar"".",33,fajar,fajar,NOUN,NSD,{'Number': 'Sing'},32,compound,"{'SpaceAfter': 'No', 'MorphInd': '^fajar<n>_NSD$'}",Tidak Berimbuhan
train-s1239,Copa Constitució atau Piala Andorra adalah kejuaraan nasional sepak bola antar klub yang diselenggarakan di Andorra.,2,Constitució,constitució,PROPN,X--,_,1,flat,{'MorphInd': '^constitució<x>_X--$'},Tidak Berimbuhan
train-s2042,Tanggal 21 Juni 1990 merupakan permulaan bersinar bintang kariernya.,7,bersinar,bersinar,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",6,acl,{'MorphInd': '^ber+sinar<n>_VSA$'},Prefiks
train-s373,Al - Wahda () adalah klub sepak bola Suriah yang berada di Damaskus.,8,sepak,sepak,NOUN,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",7,compound,{'MorphInd': '^sepak<v>_VSA$'},Tidak Berimbuhan
train-s2020,"Kembali di Belanda, Sneevliet agak tersingkirkan oleh pimpinan CPH, yang mengkritik taktiknya di Hindia Belanda.",16,Hindia,hindia,PROPN,X--,_,13,obl,{'MorphInd': '^hindia<x>_X--$'},Tidak Berimbuhan
train-s3372,Mereka mengetahui rahasia - rahasia hati dan paham mengenai teori dasar psikoanalis yakni alam sadar dan alam bawah sadar (hati).,13,yakni,yakni,ADV,O--,_,14,advmod,{'MorphInd': '^yakni<o>_O--$'},Tidak Berimbuhan
train-s2682,"Saat ini sudah ada alat pembedahan minimal invasif yang dilakukan hanya dengan membuat sayatan kecil pada kulit untuk melakukan tindakan pembedahan, ada juga pembedahan oleh robotik (Da Vinci) Alat bedah terdiri dari dompet kulit yang berisi alat - alat sebagai berikut: Alat - alat yang sudah selesai digunakan harus dicuci bersih dan disuci hamakan dengan alkohol atau disinfektan lainnya.",29,Da,da,PROPN,F--,_,27,appos,{'MorphInd': '^da<f>_F--$'},Tidak Berimbuhan
train-s3599,"Saat menyelesaikan tugas akhir mahasiswa S - 1 di Fakultas Teknik Jurusan Teknik Kimia, Universitas Shizuoka, Jepang, tahun 1991, Dr. Warsito mulai tertarik dengan sebuah riset tentang menembus pandang sebuah objek (sekarang disebut tomografi).",10,Fakultas,fakultas,NOUN,NSD,{'Number': 'Sing'},3,nmod,{'MorphInd': '^fakultas<n>_NSD$'},Tidak Berimbuhan
train-s4364,"Pada tahun 2002, museum seni di Jepang, Bunkamura Museum of Art in Japan mengadakan pameran yang berisikan berbagai lukisan asli dari serial ini, kapal selam dan roket peluncur yang diciptakan oleh Profesor Lakmus dalam serial ini.",13,Art,art,PROPN,F--,_,12,nmod,{'MorphInd': '^art<f>_F--$'},Tidak Berimbuhan
train-s1699,"Kejuaraan Remaja U - 19 AFF adalah sebuah kompetisi sepak bola internasional tahunan yang diperebutkan oleh tim nasional anggota Federasi Sepak Bola ASEAN (AFF) dan kadang - kadang mengundang negara - negara dari seluruh Asia. Turnamen sebelumnya bermain di bawah - 20 tingkat, namun, AFF mengikuti AFC setelah mereka berganti nama menjadi itu U - 20 kompetisi jatuh dengan Konvensi penamaan FIFA dan juga untuk mencerminkan usia pemain di kompetisi.",40,sebelumnya,sebelumnya,ADV,D--,_,39,advmod,{'MorphInd': '^sebelumnya<d>_D--$'},Konfiks
train-s1212,"Malamnya, mereka berkencan di ""Fancy"" dan Mr. Krabs harus membayar 100.000 dolar untuk pelayanan kepada Mrs. Puff. Keesokan harinya, Mr. Krabs dan SpongeBob pergi ke rumah Mrs. Puff, Mr. Krabs menyuruh SpongeBob tidak membelikan Mrs. Puff apapun, tapi cintanya membuat dia menyuruh SpongeBob membeli sesuatu, tapi ketika SpongeBob sampai, Mr. Krabs marah karena memakai uangnya, ini terjadi berulang - ulang dengan barang - barang yang berbeda.",61,ketika,ketika,SCONJ,S--,_,63,mark,{'MorphInd': '^ketika<s>_S--$'},Tidak Berimbuhan
train-s2519,"Di antara ciri khas dialek Jepang Barat adalah penggunaan kata oru (おる) untuk iru (いる, ada) serta pemakaian kopula ja (じゃ) atau ya (や) dan bukan da (だ). Akhiran bentuk negasi adalah - n (～ ん) seperti dalam wakaran (わから ん, tidak tahu), dan bukan - nai (～ ない) seperti dalam wakaranai (わからない). Ciri - ciri khas tersebut sebagian berasal dari bahasa Jepang Kuno. Jenis - jenis dialek Hokuriku: Bantuan | style = ""padding: 0em 0.5 em 0em 0.5 em; background - color: # f1fcf5;"" | | style = ""width: 50 % %; vertical - align: top; border: 1px solid # abd5f5; background - color: # f1f5fc;"" | Tips Membuat kesalahan?",1,Di,di,ADP,R--,_,3,case,{'MorphInd': '^di<r>_R--$'},Tidak Berimbuhan
train-s2714,"Hutan hujan tropika atau sering juga ditulis sebagai hutan hujan tropis adalah bioma berupa hutan yang selalu basah atau lembap, yang dapat ditemui di wilayah sekitar khatulistiwa; yakni kurang lebih pada lintang 0 ° – 10 ° ke utara dan ke selatan garis khatulistiwa.",39,°,°,SYM,Z--,_,34,punct,{'MorphInd': '^°<z>_Z--$'},Tidak Berimbuhan
train-s1403,"Dekrit ini merupakan dekrit pertama yang dikeluarkan oleh Monarki Yogyakarta semenjak, terakhir, 30 Oktober 1945.",11,semenjak,semenjak,ADP,D--,_,16,case,"{'SpaceAfter': 'No', 'MorphInd': '^semenjak<d>_D--$'}",Tidak Berimbuhan
train-s2255,"Moru / Gaya Baru adalah desa di kecamatan Wasior, Teluk Wondama, Papua Barat, Indonesia.",12,Wondama,wondama,PROPN,X--,_,11,flat,"{'SpaceAfter': 'No', 'MorphInd': '^wondama<x>_X--$'}",Tidak Berimbuhan
train-s2358,"Gaya - gaya tipografi pada Psychedelic terpengaruh oleh Art Nouveau, tetapi terdapat pemadatan, bentuknya curvilinear dan berupa handwriting.",9,Art,art,PROPN,F--,_,7,obl,{'MorphInd': '^art<f>_F--$'},Tidak Berimbuhan
train-s463,Kecamatan Dukuhseti memiliki beberapa lembaga pendidikan mulai tingkat TK hingga SMA yang terdiri: * SMP Negeri 1 Dukuhseti * SMP Negeri 2 Dukuhseti * SMP BOPKRI 3 * SMP AKN Marzuqi * MTs Arridlo Ngagel * MTs Madarijul Huda Kembang * MTs Manahijul Huda Ngagel * MTs Mambaul Ulum Grogolan * MTs Mathaliul Huda Bakalan * MTs Miftahul Falah Puncel * MTs Minsya 'ul Wathon Grogolan * MTs Tarbiyatul Banin Banat Alasdowo * MA Madarijul Huda Kembang * MA Manahijul Huda Ngagel * MA Tarbiyatul Banin Banat Alasdowo * SMK Manahijul Huda Ngagel * SMK Manba' ul Huda Kembang Dukuhseti Pati * SMK Telkom Terpadu AKN Marzuqi * SMA BOPKRI 3,54,Mathaliul,mathaliul,PROPN,X--,_,53,flat,{'MorphInd': '^mathaliul<x>_X--$'},Tidak Berimbuhan
train-s1814,Segera setelah itu Dinasti Goryeo diproklamasikan dan Wang Geon pergi untuk mengalahkan negara tetangganya Silla dan Hubaekje untuk menyatukan kembali Tiga Kerajaan pada tahun 936.,7,dan,dan,CCONJ,H--,_,10,cc,{'MorphInd': '^dan<h>_H--$'},Tidak Berimbuhan
train-s3506,"Seorang penatua yang tertahbis mengenakan stola dengan cara yang sama dengan imam - imam Anglikan dan Katolik Ritus Latin, karena jabatan penatua dalam gereja ini setara dengan jabatan imam dalam Gereja Anglikan atau Katolik.",10,sama,sama,ADJ,ASP,"{'Degree': 'Pos', 'Number': 'Sing'}",8,amod,{'MorphInd': '^sama<a>_ASP$'},Tidak Berimbuhan
train-s18,Lambda Indonesia dan organisasi sejenis lainnya bermunculan pada akhir tahun 1980 - an dan 1990 - an.,9,akhir,akhir,NOUN,NSD,{'Number': 'Sing'},10,amod,{'MorphInd': '^akhir<n>_NSD$'},Tidak Berimbuhan
train-s3533,"Film ini juga dipenuhi bintang film Indonesia, tercatat ada sembilan nama peraih piala citra yang berkolaborasi secara sempurna untuk menyajikan tontonan yang berkualitas.",14,piala,piala,NOUN,NSD,{'Number': 'Sing'},13,compound,{'MorphInd': '^piala<n>_NSD$'},Tidak Berimbuhan
