sent_id,token_id,token,label_silver,label_otomatis,cocok
train-s2129,12,dalam,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s4262,17,aksi,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s3255,14,seperti,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2211,1,Garis,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2845,44,netral,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2396,11,dosaku,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s65,8,Neglasari,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s3654,50,di,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s3529,2,Bouvet,Tidak Berimbuhan,Tidak Berimbuhan,True
train-s2090,24,Terror,Tidak Berimbuhan,Tidak Berimbuhan,True
